year,week,defense_team,offense_team,receivingReceptionsRB,receivingYardsRB,receivingTouchdownsRB,receivingTargetsRB,receivingYardsAfterCatchRB,receiving100To199YardGameRB,receiving200PlusYardGameRB,receivingReceptionsWR,receivingYardsWR,receivingTouchdownsWR,receivingTargetsWR,receivingYardsAfterCatchWR,receiving100To199YardGameWR,receiving200PlusYardGameWR,receivingReceptionsTE,receivingYardsTE,receivingTouchdownsTE,receivingTargetsTE,receivingYardsAfterCatchTE,receiving100To199YardGameTE,receiving200PlusYardGameTE,rushingAttemptsRB,rushingYardsRB,rushing40PlusYardTDRB,rushing50PlusYardTDRB,rushing100To199YardGameRB,rushing200PlusYardGameRB,rushingTouchdownsRB,rushingAttemptsWR,rushingYardsWR,rushing40PlusYardTDWR,rushing50PlusYardTDWR,rushing100To199YardGameWR,rushing200PlusYardGameWR,rushingTouchdownsWR,rushingAttemptsQB,rushingYardsQB,rushing40PlusYardTDQB,rushing50PlusYardTDQB,rushing100To199YardGameQB,rushing200PlusYardGameQB,rushingTouchdownsQB,rushingAttemptsTE,rushingYardsTE,rushing40PlusYardTDTE,rushing50PlusYardTDTE,rushing100To199YardGameTE,rushing200PlusYardGameTE,rushingTouchdownsTE,passingAttemptsQB,passingCompletionsQB,passingIncompletionsQB,passingYardsQB,passingTouchdownsQB,passingInterceptionsQB,passing40PlusYardTDQB,passing50PlusYardTDQB,passing300To399YardGameQB,passing400PlusYardGameQB,passing2PtConversionsQB,madeFieldGoalsFrom50PlusK,attemptedFieldGoalsFrom50PlusK,madeFieldGoalsFromUnder40K,attemptedFieldGoalsFromUnder40K,madeFieldGoalsK,attemptedFieldGoalsK,madeExtraPointsK,attemptedExtraPointsK
2019,1,DET,ARI,8.0,70.0,1.0,11.0,20.0,0.0,0.0,12.0,145.0,1.0,25.0,28.0,1.0,0.0,,,,,,,,23.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,54.0,29.0,25.0,308.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,4.0,1.0,1.0
2019,1,GB,CHI,9.0,76.0,0.0,11.0,35.0,0.0,0.0,7.0,102.0,0.0,14.0,26.0,1.0,0.0,,,,,,,,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,45.0,26.0,19.0,228.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2019,1,HOU,NO,9.0,76.0,0.0,11.0,78.0,0.0,0.0,17.0,224.0,0.0,20.0,41.0,2.0,0.0,2.0,37.0,0.0,3.0,16.0,0.0,0.0,19.0,140.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,32.0,11.0,370.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0
2019,1,IND,LAC,7.0,100.0,2.0,10.0,116.0,0.0,0.0,10.0,152.0,1.0,13.0,30.0,1.0,0.0,4.0,60.0,0.0,5.0,9.0,0.0,0.0,18.0,115.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,25.0,9.0,333.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,JAX,KC,7.0,51.0,0.0,7.0,65.0,0.0,0.0,12.0,214.0,3.0,16.0,134.0,1.0,0.0,3.0,88.0,0.0,8.0,42.0,0.0,0.0,23.0,107.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,25.0,8.0,378.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0
2019,1,KC,JAX,4.0,28.0,0.0,6.0,32.0,0.0,0.0,15.0,273.0,3.0,17.0,90.0,1.0,0.0,,,,,,,,13.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.0,27.0,6.0,350.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
2019,1,LAC,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,87.0,2.0,9.0,42.0,0.0,0.0,2.0,28.0,0.0,5.0,15.0,0.0,0.0,25.0,174.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,6.0,190.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2019,1,LAR,CAR,10.0,81.0,0.0,11.0,59.0,0.0,0.0,13.0,115.0,0.0,24.0,38.0,0.0,0.0,,,,,,,,19.0,128.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,38.0,25.0,13.0,239.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,3.0
2019,1,LV,DEN,5.0,28.0,0.0,7.0,23.0,0.0,0.0,9.0,125.0,0.0,12.0,50.0,1.0,0.0,2.0,29.0,0.0,4.0,10.0,0.0,0.0,21.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,-5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0
2019,1,MIA,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,147.0,2.0,5.0,93.0,1.0,0.0,8.0,108.0,1.0,8.0,36.0,1.0,0.0,14.0,107.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,3.0,324.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,8.0
2019,1,MIN,ATL,3.0,12.0,0.0,4.0,7.0,0.0,0.0,10.0,95.0,2.0,17.0,29.0,0.0,0.0,9.0,77.0,0.0,9.0,32.0,0.0,0.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,33.0,13.0,304.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,NE,PIT,5.0,46.0,0.0,6.0,44.0,0.0,0.0,11.0,154.0,0.0,19.0,61.0,0.0,0.0,2.0,40.0,0.0,4.0,20.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,27.0,20.0,276.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2019,1,NO,HOU,5.0,35.0,0.0,6.0,32.0,0.0,0.0,13.0,217.0,3.0,19.0,47.0,1.0,0.0,,,,,,,,19.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,40.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,30.0,20.0,10.0,268.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2019,1,NYG,DAL,1.0,10.0,0.0,2.0,14.0,0.0,0.0,17.0,333.0,2.0,21.0,138.0,2.0,0.0,3.0,15.0,1.0,4.0,16.0,0.0,0.0,13.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,25.0,7.0,405.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
2019,1,NYJ,BUF,5.0,28.0,0.0,6.0,34.0,0.0,0.0,12.0,163.0,1.0,19.0,67.0,1.0,0.0,,,,,,,,15.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,37.0,24.0,13.0,254.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2019,1,PHI,WSH,10.0,88.0,0.0,13.0,72.0,0.0,0.0,5.0,125.0,1.0,7.0,37.0,1.0,0.0,4.0,59.0,1.0,7.0,54.0,0.0,0.0,13.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2019,1,PIT,NE,5.0,56.0,0.0,7.0,53.0,0.0,0.0,15.0,235.0,2.0,21.0,92.0,0.0,0.0,,,,,,,,19.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,36.0,24.0,12.0,341.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,3.0,3.0
2019,1,SEA,CIN,4.0,49.0,0.0,6.0,56.0,0.0,0.0,15.0,218.0,2.0,23.0,66.0,1.0,0.0,,,,,,,,13.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,51.0,35.0,16.0,418.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,
2019,1,SF,TB,3.0,30.0,0.0,5.0,35.0,0.0,0.0,7.0,91.0,1.0,16.0,23.0,0.0,0.0,4.0,32.0,0.0,5.0,11.0,0.0,0.0,21.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,16.0,194.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
2019,1,TB,SF,3.0,33.0,0.0,5.0,39.0,0.0,0.0,4.0,24.0,0.0,4.0,17.0,0.0,0.0,8.0,54.0,0.0,10.0,48.0,0.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,9.0,166.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0
2019,1,TEN,CLE,3.0,10.0,0.0,4.0,10.0,0.0,0.0,11.0,138.0,0.0,18.0,39.0,0.0,0.0,4.0,37.0,1.0,6.0,14.0,0.0,0.0,17.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0,13.0,285.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2019,1,WSH,PHI,6.0,29.0,0.0,8.0,32.0,0.0,0.0,13.0,203.0,3.0,16.0,24.0,1.0,0.0,7.0,70.0,0.0,10.0,32.0,0.0,0.0,26.0,116.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,28.0,11.0,313.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0
2019,1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2,ARI,BAL,2.0,30.0,0.0,2.0,14.0,0.0,0.0,8.0,86.0,0.0,13.0,27.0,0.0,0.0,8.0,112.0,1.0,9.0,35.0,1.0,0.0,13.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,13.0,272.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0
2019,2,ATL,PHI,6.0,22.0,0.0,8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,72.0,0.0,16.0,13.0,0.0,0.0,18.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.0,18.0,231.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0
2019,2,BAL,ARI,8.0,44.0,0.0,9.0,37.0,0.0,0.0,11.0,218.0,0.0,19.0,119.0,2.0,0.0,,,,,,,,14.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,40.0,25.0,15.0,349.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0
2019,2,BUF,NYG,3.0,28.0,0.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,48.0,0.0,8.0,8.0,0.0,0.0,18.0,107.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,26.0,19.0,250.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2019,2,CAR,TB,1.0,7.0,0.0,1.0,8.0,0.0,0.0,12.0,182.0,1.0,17.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,91.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16.0,9.0,208.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0
2019,2,CHI,DEN,9.0,78.0,0.0,14.0,82.0,0.0,0.0,6.0,55.0,0.0,13.0,8.0,0.0,0.0,4.0,33.0,0.0,4.0,4.0,0.0,0.0,24.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0
2019,2,CIN,SF,4.0,79.0,1.0,5.0,86.0,0.0,0.0,16.0,184.0,2.0,20.0,112.0,0.0,0.0,3.0,54.0,0.0,3.0,32.0,0.0,0.0,25.0,204.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,8.0,296.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,5.0,5.0
2019,2,CLE,NYJ,10.0,61.0,0.0,10.0,91.0,0.0,0.0,8.0,121.0,0.0,12.0,21.0,0.0,0.0,,,,,,,,21.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,DAL,WSH,7.0,55.0,0.0,10.0,54.0,0.0,0.0,5.0,62.0,1.0,9.0,15.0,0.0,0.0,3.0,29.0,0.0,4.0,0.0,0.0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2019,2,DEN,CHI,3.0,13.0,0.0,8.0,21.0,0.0,0.0,5.0,43.0,0.0,8.0,13.0,0.0,0.0,,,,,,,,22.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,27.0,16.0,11.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2019,2,DET,LAC,7.0,72.0,0.0,7.0,64.0,0.0,0.0,11.0,181.0,0.0,20.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,125.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,21.0,15.0,293.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
